Date_of_Sale,Address,County,Eircode,Price,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Sale_Year,Sale_Month
2012-05-01,"17 Roebuck Park, Goatstown",Dublin,,645000.0,0,0,0,,2012,5
2019-04-25,"20 RANELAGH AVENUE, RANELAGH, DUBLIN 6",Dublin,,550000.0,0,0,0,,2019,4
2011-07-01,"76 Dolmen Gardens, Carlow",Carlow,,147000.0,0,0,0,,2011,7
2023-04-06,"71 CARA BAY, CULDAFF, DONEGAL",Donegal,F93D277,180000.0,0,0,0,,2023,4
2020-11-11,"GRANNY, BALLINAMEEN, BOYLE",Roscommon,,80000.0,0,0,0,,2020,11
2021-05-13,"42 CLONLEA, MOUNT OVAL VILLAGE, ROCHESTOWN",Cork,T12WVW7,337000.0,0,0,0,,2021,5
2013-12-02,"LOMORR, PARK AVENUE, GORET",Wexford,,140000.0,0,0,0,,2013,12
2015-11-17,"73 RATHFARNHAM WOOD, RATHFARNHAM, DUBLIN 14",Dublin,,710000.0,0,0,0,,2015,11
2012-06-07,"Bishopstown, Grantstown",Waterford,,135000.0,0,0,0,,2012,6
2024-07-11,"KELLY STREET, LOUGHREA, CO. GALWAY",Galway,H62T628,32500.0,0,0,0,,2024,7
2013-07-02,"91 Crosbies Yard, Ossory Road, Dublin 3",Dublin,,210000.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2013,7
2019-11-07,"7 THOMAS ST, CASTLEBLAYNEY, MONAGHAN",Monaghan,,44288.5,0,0,0,,2019,11
2025-09-10,"1 GLENDASAN HEIGHTS, HARBOUR VIEW, WICKLOW TOWN",Wicklow,A67R580,421000.0,0,0,0,,2025,9
2021-06-25,"BALLINASKEA, ENFIELD, MEATH",Meath,,360000.0,0,0,0,,2021,6
2023-12-13,"36 LISNAGAR GARDENS, RATHCORMAC, CO CORK",Cork,P61FW93,268678.41,1,1,1,,2023,12
2020-02-05,"35 WILLIAM ST, LIMERICK, LIMERICK",Limerick,,55000.0,0,0,0,,2020,2
2023-11-16,"20 LIOSCARRIG DR, CAHERSLEE, TRALEE",Kerry,V92C9P5,340000.0,0,0,0,,2023,11
2014-10-28,"77 MARINA APTS, E BLOCK, TRALEE",Kerry,,80000.0,0,0,0,,2014,10
2019-03-04,"SEA ROAD, CASTLEBELLINGHAM, CO LOUTH",Louth,,60000.0,0,0,0,,2019,3
2017-07-25,"6 CENTURY APTS, EMERSON AVE, SALTHILL",Galway,,225000.0,0,0,0,,2017,7
2019-07-01,"BALRATH, RATHCONRATH, CO WESTMEATH",Westmeath,,156000.0,0,0,0,,2019,7
2015-10-15,"2 RIVERSIDE PARK, URLINGFORD, KILKENNY",Kilkenny,,95000.0,1,0,0,,2015,10
2018-09-19,"5 St. Pancras Avenue, St. Pancras, Mount Tallant Avenue",Dublin,,792070.48,0,1,1,greater than or equal to 125 sq metres,2018,9
2025-07-29,"90 Parade Drive, Magee Quarter, Kildare",Kildare,,372246.7,0,1,1,,2025,7
2022-07-15,"1 DINGLE ROAD, CABRA, DUBLIN 7",Dublin,D07X6T7,320000.0,0,0,0,,2022,7
2015-07-03,"2 TIVOLI GARDENS, TIVOLI TERRACE EAST, DUN LAOGHAIRE",Dublin,,575000.0,0,0,0,,2015,7
2014-04-25,"8 THE BEECH, ATHLUMNEY WOOD, NAVAN",Meath,,105000.0,0,0,0,,2014,4
2023-08-10,"21 CARLINN COURT, MULLAHARLIN ROAD, DUNDALK",Louth,A91DT9W,344000.0,0,0,0,,2023,8
2024-09-10,"BALLINAKILL, COURTOWN HARBOUR, WEXFORD",Wexford,,250000.0,0,0,0,,2024,9
2019-07-08,"26 THE WALK, HERONS WOOD, CARRIGALINE",Cork,,265000.0,0,0,0,,2019,7
2015-10-16,"CORRONEARY, AUGHAVAS",Leitrim,,170000.0,0,1,1,greater than or equal to 38 sq metres and less than 125 sq metres,2015,10
